country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Thailand;0.64;Lower-middle;0.68;Lower-middle;Very high;Eastern Asia and South-Eastern Asia;89.9;31.59;36.39;18.24;62.2;92.7;14.4;35.5;9;87.12;88.65;36.39;36.25;18.24;11.36;62.2;97.8;92.7;98.61
Togo;0.54;Low;0.66;Lower-middle;Low;Sub-Saharan Africa;46.8;77.03;8.43;31.53;85.1;44.3;19.8;70.11;13;85.98;88.91;8.43;24.63;31.53;18.28;85.1;95.2;44.3;55.22
Tunisia;0.51;Low;0.59;Low;High;Northern Africa and Western Asia;69.6;6.63;37;34.53;34.4;28.8;16.2;10.54;10;85.48;88.27;37;35.6;34.53;28.53;34.4;98.2;28.75;45.14
Türkiye;0.5;Low;0.51;Low;Very high;Northern Africa and Western Asia;61.4;15.66;37.67;32.37;33;62.6;17.4;19.65;12;85.47;88.7;37.67;49.91;32.37;17.46;33;96.4;62.55;85.34
Uganda;0.46;Low;0.67;Lower-middle;Low;Sub-Saharan Africa;61.1;105.68;10.78;38.35;39.7;65.1;33.8;35.05;26;86.1;88.62;10.78;19.53;38.35;23.17;39.7;71.3;65.06;66.88
United Arab Emirates;0.68;Lower-middle;0.78;Upper-middle;Very high;Northern Africa and Western Asia;60.7;2.84;73.12;17.68;37.8;86.7;50;23.13;17.9;84.4;87.68;73.12;73.73;17.68;6.4;37.8;98.5;86.68;85.39
United Kingdom;0.78;Upper-middle;0.82;High;Very high;Europe and Northern America;85.9;9.99;80.07;10.57;75;99.9;31.5;36.83;4;85.09;87.28;80.07;79.74;10.57;10.48;75;96.6;99.91;99.61
United States;0.75;Upper-middle;0.79;Upper-middle;Very high;Europe and Northern America;80.3;15.12;91.3;11.72;68.3;96.8;27.9;41;6;83.03;85.49;91.3;90.55;11.72;10.77;68.3;95.1;96.79;93.09
Uruguay;0.69;Lower-middle;0.83;High;Very high;Latin America and the Caribbean;86.6;35.2;36.79;16.46;77.3;75.7;26.9;39.19;4;86.28;89.01;36.79;29.85;16.46;13.51;77.3;96.9;75.73;72.35
Viet Nam;0.61;Lower-middle;0.76;Upper-middle;High;Eastern Asia and South-Eastern Asia;77.5;34.99;30.41;12.7;88.1;30.4;30.3;25.6;10;87.43;89.75;30.41;34.91;12.7;10.04;88.1;98.4;30.42;31.21
Yemen;0.14;Low;0.14;Low;Low;Northern Africa and Western Asia;49.1;52.5;12.4;69.69;6.6;1.7;0.3;4.12;18.2;84.4;88.35;12.4;15.2;69.69;22.06;6.6;93.2;1.67;11.39
Zambia;0.44;Low;0.64;Lower-middle;Medium;Sub-Saharan Africa;68.2;116.09;20.49;36.17;55.8;45;15;43.28;28;86.14;88.18;20.49;16.88;36.17;26.53;55.8;84.2;44.98;52.48
Zimbabwe;0.52;Low;0.66;Lower-middle;Medium;Sub-Saharan Africa;85.8;92.57;18.64;35.56;59.8;54;33.6;33.99;18;86.16;89.04;18.64;24.52;35.56;25.3;59.77;96.54;53.98;65.86
Afghanistan;0;none;0;none;Low;Central Asia and Southern Asia;47.7;79.74;5.2;81.25;23.4;4.7;27.2;4.89;35;84.16;86.49;5.2;12.1;81.25;41.92;23.4;94.2;4.7;14.79
Algeria;0;none;0;none;High;Northern Africa and Western Asia;71.3;11.56;37.82;31.69;0;31.2;6.8;8.36;18.1;84.59;87.53;37.82;32.52;31.69;10.94;0;0;31.19;56.83
Andorra;0;none;0;none;Very high;Europe and Northern America;80.1;5.91;45.82;0;0;0;46.4;0;6.4;0;0;45.82;46.86;0;0;0;0;0;0
